441012549166875.000000,
441012582544875.000000,
441012615922375.000000,
441012649302666.000000,
441012682678875.000000,
441012716057666.000000,
441012749436583.000000,
441012782818375.000000,
441012816194208.000000,
441012849577375.000000,
441012882952875.000000,
441012916334791.000000,
441012949709041.000000,
441012983087375.000000,
441013016465958.000000,
441013049845333.000000,
441013083223750.000000,
441013116602708.000000,
441013149982166.000000,
441013183359791.000000,
441013216742583.000000,
441013250117500.000000,
441013283495958.000000,
441013316876916.000000,
441013350253541.000000,
441013383631958.000000,
441013417014041.000000,
441013450390291.000000,
441013483770000.000000,
441013517147125.000000,
441013550526458.000000,
