440928902071791.000000,
440928935452250.000000,
440928968828875.000000,
440929002207875.000000,
440929035587416.000000,
440929068965875.000000,
440929102344208.000000,
440929135726833.000000,
440929169105083.000000,
440929202481041.000000,
440929235859083.000000,
440929269240375.000000,
440929302616375.000000,
440929335994791.000000,
440929369373875.000000,
440929402752666.000000,
440929436131708.000000,
440929469512750.000000,
440929502888625.000000,
440929536267625.000000,
440929569650208.000000,
440929603029541.000000,
440929636403625.000000,
440929669786041.000000,
440929703161166.000000,
440929736539875.000000,
440929769923208.000000,
440929803297500.000000,
440929836675708.000000,
440929870055541.000000,
440929903433458.000000,
